MSA Code,MSA Name,FIPS,COUNTY
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",13073,"Columbia County, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",13033,"Burke County, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",45037,"Edgefield County, SC"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",48453,"Travis County, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",48209,"Hays County, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",48055,"Caldwell County, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",48021,"Bastrop County, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",48491,"Williamson County, TX"
12540,"Bakersfield, CA Metropolitan Statistical Area",6029,"Kern County, CA"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24027,"Howard County, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24025,"Harford County, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24013,"Carroll County, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24005,"Baltimore County, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24510,"Baltimore city, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24003,"Anne Arundel County, MD"
12580,"Baltimore-Towson, MD Metropolitan Statistical Area",24035,"Queen Anne's County, MD"
12620,"Bangor, ME Metropolitan Statistical Area",23019,"Penobscot County, ME"
12700,"Barnstable Town, MA Metropolitan Statistical Area",25001,"Barnstable County, MA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22121,"West Baton Rouge Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22091,"St. Helena Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22077,"Pointe Coupee Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22063,"Livingston Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22047,"Iberville Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22037,"East Feliciana Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22033,"East Baton Rouge Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22005,"Ascension Parish, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",22125,"West Feliciana Parish, LA"
12980,"Battle Creek, MI Metropolitan Statistical Area",26025,"Calhoun County, MI"
13020,"Bay City, MI Metropolitan Statistical Area",26017,"Bay County, MI"
13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",48245,"Jefferson County, TX"
13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",48199,"Hardin County, TX"
13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",48361,"Orange County, TX"
13380,"Bellingham, WA Metropolitan Statistical Area",53073,"Whatcom County, WA"
13460,"Bend, OR Metropolitan Statistical Area",41017,"Deschutes County, OR"
13740,"Billings, MT Metropolitan Statistical Area",30009,"Carbon County, MT"
13740,"Billings, MT Metropolitan Statistical Area",30111,"Yellowstone County, MT"
13780,"Binghamton, NY Metropolitan Statistical Area",36007,"Broome County, NY"
13780,"Binghamton, NY Metropolitan Statistical Area",36107,"Tioga County, NY"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1115,"St. Clair County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1117,"Shelby County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1073,"Jefferson County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1021,"Chilton County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1009,"Blount County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1007,"Bibb County, AL"
13820,"Birmingham-Hoover,  AL Metropolitan Statistical Area",1127,"Walker County, AL"
13900,"Bismarck, ND Metropolitan Statistical Area",38015,"Burleigh County, ND"
13900,"Bismarck, ND Metropolitan Statistical Area",38059,"Morton County, ND"
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",51155,"Pulaski County, VA"
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",51121,"Montgomery County, VA"
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",51071,"Giles County, VA"
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",51750,"Radford city, VA"
14020,"Bloomington, IN Metropolitan Statistical Area",18105,"Monroe County, IN"
14020,"Bloomington, IN Metropolitan Statistical Area",18055,"Greene County, IN"
14020,"Bloomington, IN Metropolitan Statistical Area",18119,"Owen County, IN"
14060,"Bloomington-Normal,  IL Metropolitan Statistical Area",17113,"McLean County, IL"
14260,"Boise City-Nampa, ID Metropolitan Statistical Area",16045,"Gem County, ID"
14260,"Boise City-Nampa, ID Metropolitan Statistical Area",16027,"Canyon County, ID"
14260,"Boise City-Nampa, ID Metropolitan Statistical Area",16015,"Boise County, ID"
14260,"Boise City-Nampa, ID Metropolitan Statistical Area",16001,"Ada County, ID"
14260,"Boise City-Nampa, ID Metropolitan Statistical Area",16073,"Owyhee County, ID"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",33015,"Rockingham County, NH"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",25025,"Suffolk County, MA"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",25023,"Plymouth County, MA"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",25021,"Norfolk County, MA"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",25017,"Middlesex County, MA"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",25009,"Essex County, MA"
14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",33017,"Strafford County, NH"
14500,"Boulder, CO Metropolitan Statistical Area",8013,"Boulder County, CO"
14540,"Bowling Green, KY Metropolitan Statistical Area",21061,"Edmonson County, KY"
14540,"Bowling Green, KY Metropolitan Statistical Area",21227,"Warren County, KY"
14740,"Bremerton-Silverdale,  WA Metropolitan Statistical Area",53035,"Kitsap County, WA"
14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",9001,"Fairfield County, CT"
14980,"Bristol, VA Metropolitan Statistical Area",51520,"Bristol city, VA"
14980,"Bristol, VA Metropolitan Statistical Area",51191,"Washington County, VA"
15180,"Brownsville-Harlingen,  TX Metropolitan Statistical Area",48061,"Cameron County, TX"
15260,"Brunswick, GA Metropolitan Statistical Area",13127,"Glynn County, GA"
15260,"Brunswick, GA Metropolitan Statistical Area",13025,"Brantley County, GA"
15260,"Brunswick, GA Metropolitan Statistical Area",13191,"McIntosh County, GA"
15380,"Buffalo-Cheektowaga-Tonawanda, NY Metropolitan Statistical Area",36029,"Erie County, NY"
15380,"Buffalo-Cheektowaga-Tonawanda, NY Metropolitan Statistical Area",36063,"Niagara County, NY"
15500,"Burlington, NC Metropolitan Statistical Area",37001,"Alamance County, NC"
15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",50011,"Franklin County, VT"
15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",50007,"Chittenden County, VT"
15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",50013,"Grand Isle County, VT"
15940,"Canton-Massillon, OH Metropolitan Statistical Area",39019,"Carroll County, OH"
15940,"Canton-Massillon, OH Metropolitan Statistical Area",39151,"Stark County, OH"
15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",12071,"Lee County, FL"
16180,"Carson City, NV Metropolitan Statistical Area",32510,"Carson City, NV"
16220,"Casper, WY Metropolitan Statistical Area",56025,"Natrona County, WY"
16300,"Cedar Rapids, IA Metropolitan Statistical Area",19105,"Jones County, IA"
16300,"Cedar Rapids, IA Metropolitan Statistical Area",19011,"Benton County, IA"
16300,"Cedar Rapids, IA Metropolitan Statistical Area",19113,"Linn County, IA"
16580,"Champaign-Urbana, IL Metropolitan Statistical Area",17053,"Ford County, IL"
16580,"Champaign-Urbana, IL Metropolitan Statistical Area",17019,"Champaign County, IL"
16580,"Champaign-Urbana, IL Metropolitan Statistical Area",17147,"Piatt County, IL"
16620,"Charleston, WV Metropolitan Statistical Area",54043,"Lincoln County, WV"
16620,"Charleston, WV Metropolitan Statistical Area",54039,"Kanawha County, WV"
16620,"Charleston, WV Metropolitan Statistical Area",54015,"Clay County, WV"
16620,"Charleston, WV Metropolitan Statistical Area",54005,"Boone County, WV"
16620,"Charleston, WV Metropolitan Statistical Area",54079,"Putnam County, WV"
16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",45019,"Charleston County, SC"
16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",45015,"Berkeley County, SC"
16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",45035,"Dorchester County, SC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",37179,"Union County, NC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",37119,"Mecklenburg County, NC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",37071,"Gaston County, NC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",37025,"Cabarrus County, NC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",37007,"Anson County, NC"
16740,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",45091,"York County, SC"
16820,"Charlottesville, VA Metropolitan Statistical Area",51079,"Greene County, VA"
16820,"Charlottesville, VA Metropolitan Statistical Area",51065,"Fluvanna County, VA"
16820,"Charlottesville, VA Metropolitan Statistical Area",51540,"Charlottesville city, VA"
16820,"Charlottesville, VA Metropolitan Statistical Area",51003,"Albemarle County, VA"
16820,"Charlottesville, VA Metropolitan Statistical Area",51125,"Nelson County, VA"
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",47115,"Marion County, TN"
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",47065,"Hamilton County, TN"
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",13295,"Walker County, GA"
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",13083,"Dade County, GA"
